Wavelength [nm], Irradiance (before midnight), Irradiance (after midnight)
639.0, 5.4988754041e-09, 7.02883431617e-09
639.5, 5.42694643456e-09, 6.80992727365e-09
640.0, 5.73708874875e-09, 6.81952061011e-09
640.5, 5.59160319249e-09, 6.50485730229e-09
641.0, 5.12594143357e-09, 6.07741031468e-09
641.5, 4.3341769223e-09, 5.91971367632e-09
642.0, 4.40201083031e-09, 5.83285539985e-09
642.5, 4.00861350676e-09, 5.36633550914e-09
643.0, 4.10046426063e-09, 5.16092073928e-09
643.5, 4.29369716476e-09, 5.14308772363e-09
644.0, 3.60839855988e-09, 4.92786955718e-09
644.5, 3.85771936906e-09, 4.61125417901e-09
645.0, 3.55060860611e-09, 4.31585594906e-09
645.5, 3.22329754046e-09, 3.77009382071e-09
646.0, 3.35477152294e-09, 3.56186742269e-09
646.5, 3.18946658982e-09, 3.26405783222e-09
647.0, 2.82255089985e-09, 3.09574532323e-09
647.5, 2.74934880355e-09, 3.1223137101e-09
648.0, 2.74288306028e-09, 3.10095964012e-09
648.5, 2.67501676831e-09, 2.96931124967e-09
649.0, 2.6130206863e-09, 2.77818094733e-09
649.5, 2.28839485034e-09, 2.70335257607e-09
650.0, 2.03293759972e-09, 2.46702495637e-09
650.5, 2.26880799405e-09, 2.51710825804e-09
651.0, 2.0518819433e-09, 2.37096623843e-09
651.5, 1.69913390319e-09, 2.27838971651e-09
652.0, 2.4532850227e-09, 2.48601924044e-09
652.5, 2.7536073785e-09, 2.64465124796e-09
653.0, 2.85889062684e-09, 2.75218571431e-09
653.5, 2.55100231627e-09, 2.68560101178e-09
654.0, 2.75105320033e-09, 2.79968806513e-09
654.5, 2.85945971556e-09, 2.78521375433e-09
655.0, 2.83365941591e-09, 2.93784509148e-09
655.5, 2.75293036375e-09, 2.69547820163e-09
656.0, 2.68961786433e-09, 2.591289707e-09
656.5, 2.21234078721e-09, 2.36315542229e-09
657.0, 1.9746672355e-09, 1.95573404033e-09
657.5, 2.29022188901e-09, 2.01509043751e-09
658.0, 2.3733388692e-09, 2.01476273265e-09
658.5, 2.02135489529e-09, 2.01676416781e-09
659.0, 1.69679917972e-09, 1.74044479461e-09
659.5, 1.99786917988e-09, 1.89782022591e-09
660.0, 1.90833289789e-09, 1.61302296315e-09
660.5, 1.65668136284e-09, 1.19104819409e-09
661.0, 1.46857684353e-09, 1.1226768416e-09
661.5, 1.62550104382e-09, 1.1429852711e-09
662.0, 1.99049398488e-09, 1.10501587426e-09
662.5, 1.50249329189e-09, 1.24067034743e-09
663.0, 7.49348178436e-10, 1.13854546379e-09
663.5, 1.34934043974e-09, 1.27286329322e-09
664.0, 1.61443649576e-09, 1.43981926002e-09
664.5, 1.41238556485e-09, 1.60524955071e-09
665.0, 1.58865013379e-09, 1.66278552045e-09
665.5, 1.4603956867e-09, 1.59984990817e-09
666.0, 1.07113786638e-09, 1.52337720003e-09
