Wavelength [nm], Irradiance
8.492713679443792216e+02,1.672616594791535016e-01
8.491974944862078019e+02,1.676574146984304292e-01
8.491234887375937888e+02,1.650707259456305753e-01
8.490493507652290646e+02,1.701176249790902484e-01
8.489750806358052841e+02,1.682898070591307138e-01
8.489006784160145571e+02,1.696647504498145775e-01
8.488261441725485383e+02,1.699993064083785976e-01
8.487514779720991100e+02,1.681266090305629235e-01
8.486766798813580408e+02,1.685998833134095820e-01
8.486017499670172128e+02,1.681102892277061278e-01
8.485266882957685084e+02,1.683754860241288287e-01
8.484514949343036960e+02,1.712028918690662316e-01
8.483761699493145443e+02,1.673473384441515888e-01
8.483007134074930491e+02,1.675390961277187785e-01
8.482251253755308653e+02,1.707704170933615206e-01
8.481494059201199889e+02,1.685305241512682628e-01
8.480735551079521883e+02,1.708193765019318522e-01
8.479975730057192322e+02,1.687957209476909637e-01
8.479214596801130028e+02,1.700605056690915051e-01
8.478452151978253823e+02,1.701053851269476724e-01
8.477688396255481393e+02,1.685019644962688912e-01
8.476923330299730424e+02,1.690935573498272004e-01
8.476156954777920873e+02,1.713579299962056379e-01
8.475389270356970428e+02,1.682041280941326267e-01
8.474620277703796773e+02,1.685794835598385943e-01
8.473849977485317595e+02,1.710764133969261691e-01
8.473078370368453989e+02,1.686202830669805419e-01
8.472305457020121366e+02,1.713905696019192015e-01
8.471531238107239687e+02,1.695097123226751434e-01
8.470755714296726637e+02,1.698238685276681759e-01
8.469978886255499901e+02,1.696525105976719738e-01
8.469200754650479439e+02,1.717740849690535809e-01
8.468421320148582936e+02,1.710152141362132339e-01
8.467640583416728077e+02,1.695790714848164626e-01
8.466858545121833686e+02,1.699013875912379068e-01
8.466075205930817447e+02,1.711580124112100643e-01
8.465290566510598183e+02,1.706765782269350218e-01
8.464504627528094716e+02,1.706969779805059817e-01
8.463717389650224732e+02,1.678573322834260029e-01
8.462928853543907053e+02,1.713416101933488700e-01
8.462139019876059365e+02,1.699217873448088667e-01
8.461347889313600490e+02,1.701869841412315676e-01
8.460555462523448114e+02,1.707500173397905330e-01
8.459761740172521058e+02,1.694525930126764002e-01
8.458966722927738147e+02,1.688242806026903076e-01
8.458170411456015927e+02,1.683918058269855966e-01
8.457372806424274359e+02,1.662783913570324013e-01
8.456573908499432264e+02,1.682694073055597539e-01
8.455773718348405055e+02,1.693179546391079537e-01
8.454972236638114964e+02,1.705623396069375353e-01
8.454169464035477404e+02,1.686039632641237740e-01
8.453365401207411196e+02,1.695382719776745151e-01
8.452560048820835163e+02,1.705337799519381914e-01
8.451753407542668128e+02,1.692649152798234302e-01
8.450945478039827776e+02,1.704521809376542685e-01
8.450136260979231793e+02,1.685346041019824548e-01
8.449325757027800137e+02,1.710192940869274258e-01
8.448513966852449357e+02,1.702196237469451312e-01
8.447700891120098277e+02,1.682938870098449335e-01
8.446886530497665717e+02,1.710396938404984135e-01
8.446070885652070501e+02,1.698605880840959315e-01
8.445253957250230314e+02,1.689833986805439336e-01
8.444435745959062842e+02,1.708397762555028399e-01
8.443616252445486907e+02,1.687059620319786568e-01
8.442795477376420195e+02,1.701257848805186323e-01
8.441973421418782664e+02,1.703869017262271413e-01
8.441150085239492000e+02,1.718597639340516681e-01
8.440325469505464753e+02,1.701380247326612360e-01
8.439499574883622017e+02,1.701992239933741713e-01
8.438672402040880343e+02,1.701584244862321960e-01
8.437843951644158551e+02,1.692077959698246870e-01
8.437014224360374328e+02,1.714068894047759972e-01
8.436183220856446496e+02,1.702808230076580664e-01
8.435350941799293878e+02,1.722351193997576635e-01
8.434517387855834158e+02,1.691017172512556122e-01
8.433682559692986160e+02,1.733163063390194270e-01
8.432846457977667569e+02,1.697218697598132930e-01
8.432009083376797207e+02,1.686896422291218611e-01
8.431170436557293897e+02,1.709336151219293387e-01
8.430330518186074187e+02,1.685631637569818264e-01
8.429489328930058036e+02,1.730388696904541501e-01
8.428646869456161994e+02,1.700849853733766848e-01
8.427803140431307156e+02,1.679919706569944771e-01
8.426958142522408934e+02,1.694077135548202606e-01
8.426111876396387288e+02,1.707785769947899046e-01
8.425264342720161039e+02,1.676941342548582126e-01
8.424415542160646737e+02,1.671555807605843991e-01
8.423565475384764341e+02,1.690445979412568689e-01
8.422714143059431535e+02,1.708520161076454158e-01
8.421861545851566007e+02,1.716516864476277104e-01
8.421007684428086577e+02,1.707132977833627774e-01
8.420152559455912069e+02,1.668699842105907383e-01
8.419296171601960168e+02,1.711743322140668599e-01
8.418438521533149697e+02,1.696688304005287695e-01
